ppm, BSLE010, BSLE046
-658.8257,-0.2723,0.1365
-658.7651,-0.2353,0.1359
-658.7044,-0.1879,0.1402
-658.6438,-0.1366,0.147
-658.5831,-0.0918,0.1513
-658.5224,-0.0603,0.151
-658.4618,-0.0407,0.1484
-658.4011,-0.026,0.1481
-658.3404,-0.0096,0.1526
-658.2798,0.0092,0.1596
-658.2191,0.0254,0.1639
-658.1585,0.0343,0.1628
-658.0978,0.038,0.1598
-658.0371,0.0474,0.1635
-657.9765,0.0769,0.1803
-657.9158,0.1353,0.206
-657.8551,0.219,0.2245
-657.7945,0.3115,0.2144
-657.7338,0.3902,0.1618
-657.6732,0.4357,0.0716
-657.6125,0.4379,-0.0326
-657.5518,0.3981,-0.1192
-657.4912,0.3255,-0.1651
-657.4305,0.234,-0.1674
-657.3698,0.1387,-0.1431
-657.3092,0.0556,-0.1172
-657.2485,-0.0008,-0.1073
-657.1879,-0.0211,-0.1148
-657.1272,-0.0044,-0.1276
-657.0665,0.039,-0.1308
-657.0059,0.0913,-0.1173
-656.9452,0.1331,-0.091
-656.8845,0.1517,-0.0619
-656.8239,0.1454,-0.0369
-656.7632,0.1229,-0.0156
-656.7026,0.0977,0.0073
-656.6419,0.0814,0.0354
-656.5812,0.078,0.065
-656.5206,0.0839,0.0861
-656.4599,0.0898,0.0883
-656.3992,0.0855,0.0685
-656.3386,0.0642,0.0319
-656.2779,0.0255,-0.0108
-656.2173,-0.0243,-0.0502
-656.1566,-0.0733,-0.0821
-656.0959,-0.1075,-0.106
-656.0353,-0.1157,-0.1216
-655.9746,-0.0928,-0.126
-655.9139,-0.0414,-0.1153
-655.8533,0.0294,-0.0898
-655.7926,0.1081,-0.0569
-655.732,0.1839,-0.0302
-655.6713,0.2498,-0.023
-655.6106,0.3015,-0.0412
-655.55,0.3368,-0.0805
-655.4893,0.3545,-0.1304
-655.4286,0.3541,-0.1807
-655.368,0.337,-0.2266
-655.3073,0.3065,-0.2678
-655.2467,0.2662,-0.3037
-655.186,0.219,-0.3285
-655.1253,0.1659,-0.3318
-655.0647,0.1077,-0.3046
-655.004,0.0484,-0.2472
-654.9433,-0.0042,-0.173
-654.8827,-0.0395,-0.1046
-654.822,-0.0501,-0.0641
-654.7614,-0.0373,-0.0631
-654.7007,-0.0123,-0.0982
-654.64,0.0082,-0.1532
-654.5794,0.0111,-0.2072
-654.5187,-0.0048,-0.2425
-654.458,-0.0268,-0.2507
-654.3974,-0.0345,-0.2335
-654.3367,-0.0112,-0.2
-654.2761,0.0465,-0.1624
-654.2154,0.126,-0.1306
-654.1547,0.205,-0.1084
-654.0941,0.2629,-0.0921
-654.0334,0.2893,-0.0723
-653.9727,0.288,-0.0409
-653.9121,0.2712,0.0034
-653.8514,0.2523,0.0509
-653.7908,0.2388,0.0854
-653.7301,0.2311,0.0935
-653.6694,0.2261,0.0744
-653.6088,0.2222,0.0432
-653.5481,0.2222,0.0239
-653.4874,0.2315,0.0352
-653.4268,0.2542,0.0782
-653.3661,0.2893,0.1343
-653.3055,0.3296,0.1749
-653.2448,0.3642,0.1781
-653.1841,0.3837,0.1415
-653.1235,0.3841,0.0832
-653.0628,0.3679,0.0303
-653.0021,0.3422,0.0039
-652.9415,0.3144,0.0088
-652.8808,0.2887,0.0347
-652.8202,0.2647,0.0661
-652.7595,0.2383,0.0929
-652.6988,0.205,0.1141
-652.6382,0.1639,0.1336
-652.5775,0.1189,0.1528
-652.5168,0.079,0.1662
-652.4562,0.0542,0.1652
-652.3955,0.0516,0.1447
-652.3349,0.0709,0.1089
-652.2742,0.103,0.0704
-652.2135,0.1326,0.0428
-652.1529,0.143,0.0334
-652.0922,0.1237,0.0402
-652.0316,0.0748,0.0551
-651.9709,0.0083,0.0705
-651.9102,-0.0554,0.0832
-651.8496,-0.0959,0.0935
-651.7889,-0.1003,0.1007
-651.7282,-0.0685,0.1005
-651.6676,-0.0125,0.0864
-651.6069,0.049,0.056
-651.5463,0.0985,0.0153
-651.4856,0.1257,-0.022
-651.4249,0.1298,-0.0411
-651.3643,0.1167,-0.0354
-651.3036,0.0943,-0.0105
-651.2429,0.0683,0.0193
-651.1823,0.041,0.0396
-651.1216,0.0123,0.045
-651.061,-0.0181,0.0413
-651.0003,-0.0496,0.0393
-650.9396,-0.0819,0.0457
-650.879,-0.1152,0.0566
-650.8183,-0.151,0.0589
-650.7576,-0.1899,0.0384
-650.697,-0.229,-0.011
-650.6363,-0.2613,-0.0811
-650.5757,-0.2782,-0.153
-650.515,-0.2731,-0.2046
-650.4543,-0.2461,-0.2203
-650.3937,-0.2048,-0.1967
-650.333,-0.1612,-0.142
-650.2723,-0.1258,-0.0716
-650.2117,-0.1034,-0.0021
-650.151,-0.091,0.0537
-650.0904,-0.0809,0.0883
-650.0297,-0.065,0.0996
-649.969,-0.0396,0.0895
-649.9084,-0.007,0.0629
-649.8477,0.0251,0.0262
-649.787,0.0465,-0.0127
-649.7264,0.0484,-0.0459
-649.6657,0.0269,-0.0661
-649.6051,-0.0144,-0.0682
-649.5444,-0.0646,-0.0516
-649.4837,-0.1079,-0.0215
-649.4231,-0.1301,0.0115
-649.3624,-0.1255,0.0341
-649.3017,-0.1012,0.0362
-649.2411,-0.075,0.0153
-649.1804,-0.0671,-0.0211
-649.1198,-0.0888,-0.0583
-649.0591,-0.1346,-0.0812
-648.9984,-0.1837,-0.0817
-648.9378,-0.2095,-0.0626
-648.8771,-0.1933,-0.0358
-648.8164,-0.1338,-0.0156
-648.7558,-0.0462,-0.0116
-648.6951,0.047,-0.0247
-648.6345,0.128,-0.0488
-648.5738,0.1912,-0.0763
-648.5131,0.2416,-0.1028
-648.4525,0.2869,-0.128
-648.3918,0.3294,-0.1534
-648.3311,0.3635,-0.1773
-648.2705,0.3805,-0.1928
-648.2098,0.3753,-0.1899
-648.1492,0.3519,-0.1609
-648.0885,0.321,-0.1059
-648.0278,0.2942,-0.0338
-647.9672,0.2778,0.0401
-647.9065,0.2703,0.1005
-647.8458,0.2664,0.1375
-647.7852,0.2612,0.1486
-647.7245,0.2539,0.137
-647.6639,0.2468,0.1085
-647.6032,0.2419,0.0691
-647.5425,0.2381,0.0243
-647.4819,0.2324,-0.0194
-647.4212,0.2225,-0.0539
-647.3605,0.2092,-0.0714
-647.2999,0.197,-0.0671
-647.2392,0.1906,-0.0431
-647.1786,0.192,-0.0084
-647.1179,0.1989,0.0234
-647.0572,0.2063,0.0391
-646.9966,0.2099,0.0316
-646.9359,0.2082,0.0015
-646.8752,0.2015,-0.0436
-646.8146,0.1905,-0.0934
-646.7539,0.174,-0.1392
-646.6933,0.1499,-0.1762
-646.6326,0.1173,-0.2035
-646.5719,0.0781,-0.2218
-646.5113,0.0371,-0.2318
-646.4506,-0.0001,-0.2336
-646.3899,-0.0293,-0.227
-646.3293,-0.0484,-0.2132
-646.2686,-0.0563,-0.1946
-646.208,-0.0519,-0.1745
-646.1473,-0.0346,-0.155
-646.0866,-0.0065,-0.1367
-646.026,0.0264,-0.1191
-645.9653,0.0548,-0.1019
-645.9046,0.071,-0.0864
-645.844,0.073,-0.0753
-645.7833,0.0662,-0.0714
-645.7227,0.0594,-0.0763
-645.662,0.0574,-0.0891
-645.6013,0.0562,-0.1078
-645.5407,0.0445,-0.1313
-645.48,0.012,-0.1603
-645.4193,-0.0406,-0.197
-645.3587,-0.0974,-0.2429
-645.298,-0.133,-0.2957
-645.2374,-0.1246,-0.3485
-645.1767,-0.0653,-0.3905
-645.116,0.0317,-0.4115
-645.0554,0.1394,-0.4056
-644.9947,0.2296,-0.3739
-644.934,0.2856,-0.3246
-644.8734,0.3053,-0.2698
-644.8127,0.2973,-0.2216
-644.7521,0.273,-0.1891
-644.6914,0.2405,-0.1755
-644.6307,0.205,-0.1784
-644.5701,0.1724,-0.1909
-644.5094,0.1512,-0.2034
-644.4487,0.15,-0.2066
-644.3881,0.1724,-0.1937
-644.3274,0.2121,-0.1622
-644.2668,0.2553,-0.1141
-644.2061,0.2869,-0.0552
-644.1454,0.2995,0.0079
-644.0848,0.2966,0.07
-644.0241,0.2883,0.1284
-643.9634,0.2827,0.183
-643.9028,0.2787,0.2352
-643.8421,0.2661,0.2859
-643.7815,0.2326,0.3347
-643.7208,0.1739,0.3797
-643.6601,0.098,0.418
-643.5995,0.0226,0.4469
-643.5388,-0.0353,0.465
-643.4781,-0.0671,0.4721
-643.4175,-0.0761,0.4694
-643.3568,-0.0717,0.4577
-643.2962,-0.061,0.4366
-643.2355,-0.0439,0.4034
-643.1748,-0.0151,0.3547
-643.1142,0.0284,0.2886
-643.0535,0.0806,0.2081
-642.9928,0.1261,0.1223
-642.9322,0.1481,0.0452
-642.8715,0.1387,-0.0098
-642.8109,0.1053,-0.0351
-642.7502,0.0677,-0.0322
-642.6895,0.0466,-0.0109
-642.6289,0.0521,0.0161
-642.5682,0.0787,0.0393
-642.5075,0.1105,0.0556
-642.4469,0.1332,0.067
-642.3862,0.1441,0.0767
-642.3256,0.1529,0.0854
-642.2649,0.1722,0.0908
-642.2042,0.2058,0.0907
-642.1436,0.2417,0.0863
-642.0829,0.2579,0.0826
-642.0222,0.2364,0.0848
-641.9616,0.1766,0.0932
-641.9009,0.0988,0.1017
-641.8403,0.0341,0.1008
-641.7796,0.0058,0.0851
-641.7189,0.0158,0.0591
-641.6583,0.0431,0.0359
-641.5976,0.0573,0.0297
-641.5369,0.0375,0.0453
-641.4763,-0.0155,0.0728
-641.4156,-0.0811,0.092
-641.355,-0.1322,0.0837
-641.2943,-0.1516,0.0418
-641.2336,-0.1393,-0.0223
-641.173,-0.1084,-0.0862
-641.1123,-0.0735,-0.128
-641.0516,-0.0415,-0.1376
-640.991,-0.0114,-0.1176
-640.9303,0.0186,-0.0778
-640.8697,0.0442,-0.0254
-640.809,0.0549,0.0384
-640.7483,0.0426,0.1164
-640.6877,0.0118,0.2072
-640.627,-0.0185,0.3012
-640.5663,-0.0235,0.3826
-640.5057,0.0114,0.4375
-640.445,0.0801,0.462
-640.3844,0.1572,0.4626
-640.3237,0.2138,0.4505
-640.263,0.2343,0.4314
-640.2024,0.2257,0.401
-640.1417,0.2097,0.3486
-640.081,0.206,0.2675
-640.0204,0.2172,0.1635
-639.9597,0.2278,0.0558
-639.8991,0.2163,-0.0311
-639.8384,0.1733,-0.0798
-639.7777,0.1094,-0.0886
-639.7171,0.0496,-0.0708
-639.6564,0.0163,-0.0456
-639.5957,0.0138,-0.0287
-639.5351,0.0267,-0.0262
-639.4744,0.032,-0.0363
-639.4138,0.0163,-0.054
-639.3531,-0.0138,-0.0752
-639.2924,-0.0371,-0.0972
-639.2318,-0.0327,-0.1156
-639.1711,0.0047,-0.124
-639.1104,0.0615,-0.1151
-639.0498,0.1153,-0.087
-638.9891,0.1496,-0.0455
-638.9285,0.164,-0.0038
-638.8678,0.1711,0.0244
-638.8071,0.1853,0.0322
-638.7465,0.2104,0.023
-638.6858,0.237,0.0083
-638.6251,0.2505,0.0005
-638.5645,0.2433,0.007
-638.5038,0.222,0.0271
-638.4432,0.204,0.0549
-638.3825,0.2068,0.0832
-638.3218,0.2357,0.1064
-638.2612,0.2794,0.121
-638.2005,0.3162,0.1246
-638.1399,0.3256,0.1157
-638.0792,0.2994,0.0952
-638.0185,0.2457,0.0684
-637.9579,0.184,0.044
-637.8972,0.1358,0.0306
-637.8365,0.1148,0.0317
-637.7759,0.1211,0.0436
-637.7152,0.1417,0.0571
-637.6546,0.1567,0.0636
-637.5939,0.1485,0.0604
-637.5332,0.1098,0.0511
-637.4726,0.0476,0.0426
-637.4119,-0.02,0.0386
-637.3512,-0.0723,0.0375
-637.2906,-0.0966,0.0339
-637.2299,-0.094,0.0241
-637.1693,-0.0777,0.0103
-637.1086,-0.0633,-0.0008
-637.0479,-0.058,-0.0029
-636.9873,-0.0556,0.0042
-636.9266,-0.0412,0.0135
-636.8659,-0.0021,0.0156
-636.8053,0.0611,0.0062
-636.7446,0.1332,-0.0098
-636.684,0.192,-0.0206
-636.6233,0.2213,-0.0146
-636.5626,0.2201,0.0116
-636.502,0.2017,0.051
-636.4413,0.1841,0.0906
-636.3806,0.1785,0.1192
-636.32,0.1849,0.1325
-636.2593,0.1956,0.132
-636.1987,0.2044,0.1199
-636.138,0.2128,0.0945
-636.0773,0.2287,0.0506
-636.0167,0.2595,-0.0144
-635.956,0.3047,-0.0938
-635.8953,0.3553,-0.1703
-635.8347,0.4,-0.2231
-635.774,0.433,-0.2391
-635.7134,0.4577,-0.2212
-635.6527,0.4825,-0.1887
-635.592,0.5124,-0.1674
-635.5314,0.5433,-0.1761
-635.4707,0.5639,-0.2174
-635.41,0.5636,-0.2779
-635.3494,0.5407,-0.3369
-635.2887,0.5027,-0.3784
-635.2281,0.46,-0.3973
-635.1674,0.4164,-0.3998
-635.1067,0.366,-0.3963
-635.0461,0.2989,-0.3948
-634.9854,0.2138,-0.3973
-634.9247,0.1264,-0.4018
-634.8641,0.0664,-0.4051
-634.8034,0.0632,-0.406
-634.7428,0.1275,-0.4041
-634.6821,0.2422,-0.3977
-634.6214,0.3673,-0.3821
-634.5608,0.459,-0.3516
-634.5001,0.4907,-0.3032
-634.4394,0.4644,-0.2402
-634.3788,0.4067,-0.1721
-634.3181,0.353,-0.1114
-634.2575,0.3295,-0.0673
-634.1968,0.3426,-0.0413
-634.1361,0.3805,-0.0269
-634.0755,0.4224,-0.013
-634.0148,0.4504,0.0098
-633.9541,0.4559,0.0441
-633.8935,0.4411,0.0842
-633.8328,0.4149,0.1182
-633.7722,0.3886,0.134
-633.7115,0.3717,0.1245
-633.6508,0.3688,0.0921
-633.5902,0.3786,0.0476
-633.5295,0.3933,0.0066
-633.4688,0.4018,-0.0175
-633.4082,0.3936,-0.0192
-633.3475,0.365,-0.0036
-633.2869,0.3213,0.0161
-633.2262,0.2746,0.0246
-633.1655,0.2375,0.0129
-633.1049,0.215,-0.0175
-633.0442,0.2011,-0.0542
-632.9835,0.181,-0.0794
-632.9229,0.1395,-0.0786
-632.8622,0.0701,-0.047
-632.8016,-0.0198,0.0079
-632.7409,-0.1104,0.0703
-632.6802,-0.1785,0.1235
-632.6196,-0.2067,0.1575
-632.5589,-0.191,0.1727
-632.4982,-0.1418,0.1788
-632.4376,-0.0793,0.1882
-632.3769,-0.0249,0.2095
-632.3163,0.0061,0.2427
-632.2556,0.0085,0.2792
-632.1949,-0.0125,0.3072
-632.1343,-0.0455,0.3182
-632.0736,-0.0785,0.3115
-632.0129,-0.1027,0.2945
-631.9523,-0.1154,0.2784
-631.8916,-0.1185,0.2709
-631.831,-0.1152,0.2727
-631.7703,-0.1071,0.2771
-631.7096,-0.0919,0.2751
-631.649,-0.0642,0.262
-631.5883,-0.0187,0.2413
-631.5276,0.0464,0.2233
-631.467,0.127,0.2185
-631.4063,0.214,0.2312
-631.3457,0.296,0.2546
-631.285,0.3636,0.2738
-631.2243,0.4121,0.2724
-631.1637,0.4417,0.2404
-631.103,0.4555,0.1792
-631.0423,0.456,0.1004
-630.9817,0.4428,0.0206
-630.921,0.4131,-0.0455
-630.8604,0.3647,-0.0901
-630.7997,0.2999,-0.1139
-630.739,0.2276,-0.1243
-630.6784,0.1623,-0.1324
-630.6177,0.1189,-0.1492
-630.557,0.106,-0.1819
-630.4964,0.1214,-0.2309
-630.4357,0.1524,-0.2891
-630.3751,0.1814,-0.3431
-630.3144,0.1933,-0.3778
-630.2537,0.1824,-0.3828
-630.1931,0.153,-0.3572
-630.1324,0.1159,-0.31
-630.0717,0.0809,-0.2558
-630.0111,0.0518,-0.2078
-629.9504,0.0259,-0.1724
-629.8898,-0.0024,-0.1484
-629.8291,-0.0371,-0.1318
-629.7684,-0.0777,-0.1206
-629.7078,-0.1216,-0.1182
-629.6471,-0.1678,-0.1302
-629.5864,-0.2187,-0.1592
-629.5258,-0.2783,-0.1994
-629.4651,-0.3466,-0.2373
-629.4045,-0.415,-0.2579
-629.3438,-0.4664,-0.252
-629.2831,-0.4825,-0.2213
-629.2225,-0.4531,-0.1767
-629.1618,-0.3827,-0.1318
-629.1011,-0.2904,-0.0969
-629.0405,-0.2009,-0.0756
-628.9798,-0.1337,-0.0679
-628.9192,-0.0956,-0.0744
-628.8585,-0.0809,-0.0983
-628.7978,-0.0778,-0.1431
-628.7372,-0.0769,-0.2081
-628.6765,-0.0758,-0.2842
-628.6158,-0.0778,-0.3564
-628.5552,-0.0863,-0.4092
-628.4945,-0.1006,-0.4342
-628.4339,-0.1151,-0.4323
-628.3732,-0.1234,-0.4113
-628.3125,-0.122,-0.379
-628.2519,-0.1133,-0.3385
-628.1912,-0.1029,-0.2884
-628.1305,-0.0961,-0.2276
-628.0699,-0.0946,-0.1609
-628.0092,-0.0959,-0.1
-627.9486,-0.096,-0.0589
-627.8879,-0.0919,-0.0456
-627.8272,-0.0825,-0.0567
-627.7666,-0.0675,-0.0785
-627.7059,-0.0461,-0.0943
-627.6452,-0.0169,-0.0939
-627.5846,0.0199,-0.0792
-627.5239,0.0599,-0.0629
-627.4633,0.0943,-0.0604
-627.4026,0.1124,-0.0812
-627.3419,0.1072,-0.1238
-627.2813,0.0801,-0.1759
-627.2206,0.041,-0.221
-627.1599,0.0052,-0.2447
-627.0993,-0.0139,-0.2403
-627.0386,-0.0117,-0.2112
-626.978,0.0054,-0.1689
-626.9173,0.0217,-0.1302
-626.8566,0.0192,-0.1122
-626.796,-0.0144,-0.1271
-626.7353,-0.0795,-0.1768
-626.6746,-0.1632,-0.2516
-626.614,-0.2429,-0.3309
-626.5533,-0.2949,-0.3906
-626.4927,-0.3034,-0.4109
-626.432,-0.2671,-0.3843
-626.3713,-0.1999,-0.3182
-626.3107,-0.1242,-0.2309
-626.25,-0.0611,-0.1445
-626.1893,-0.0215,-0.0763
-626.1287,-0.0024,-0.0345
-626.068,0.0089,-0.018
-626.0074,0.0266,-0.0202
-625.9467,0.0581,-0.0336
-625.886,0.1011,-0.0525
-625.8254,0.1467,-0.0738
-625.7647,0.1864,-0.0952
-625.704,0.2168,-0.1143
-625.6434,0.241,-0.1285
-625.5827,0.2639,-0.1354
-625.5221,0.2883,-0.1334
-625.4614,0.3128,-0.1222
-625.4007,0.3339,-0.1024
-625.3401,0.35,-0.0753
-625.2794,0.3641,-0.0431
-625.2187,0.3821,-0.0103
-625.1581,0.4077,0.0168
-625.0974,0.438,0.0305
-625.0368,0.4633,0.0246
-624.9761,0.4707,-0.002
-624.9154,0.451,-0.0435
-624.8548,0.4034,-0.0883
-624.7941,0.3356,-0.1225
-624.7334,0.2608,-0.1363
-624.6728,0.1929,-0.1284
-624.6121,0.1421,-0.1062
-624.5515,0.1141,-0.082
-624.4908,0.1092,-0.0655
-624.4301,0.1223,-0.058
-624.3695,0.1427,-0.051
-624.3088,0.1565,-0.0313
-624.2481,0.1509,0.011
-624.1875,0.1206,0.0748
-624.1268,0.0722,0.147
-624.0662,0.0233,0.2086
-624.0055,-0.0048,0.2444
-623.9448,0.0019,0.2507
-623.8842,0.0422,0.2367
-623.8235,0.0989,0.2173
-623.7629,0.147,0.2038
-623.7022,0.1649,0.1962
-623.6415,0.1437,0.1837
-623.5809,0.0907,0.152
-623.5202,0.0236,0.0933
-623.4595,-0.0366,0.0118
-623.3989,-0.0737,-0.0775
-623.3382,-0.0795,-0.1561
-623.2776,-0.0547,-0.2107
-623.2169,-0.0079,-0.2383
-623.1562,0.0461,-0.2452
-623.0956,0.089,-0.2429
-623.0349,0.1038,-0.2428
-622.9742,0.0813,-0.2539
-622.9136,0.0248,-0.2812
-622.8529,-0.05,-0.3258
-622.7923,-0.1219,-0.3828
-622.7316,-0.1736,-0.4409
-622.6709,-0.1994,-0.4836
-622.6103,-0.2055,-0.495
-622.5496,-0.2035,-0.4673
-622.4889,-0.2013,-0.406
-622.4283,-0.1976,-0.3298
-622.3676,-0.1845,-0.2621
-622.307,-0.1545,-0.2207
-622.2463,-0.1079,-0.21
-622.1856,-0.054,-0.2206
-622.125,-0.0054,-0.2369
-622.0643,0.0301,-0.2463
-622.0036,0.0535,-0.2454
-621.943,0.0709,-0.2397
-621.8823,0.086,-0.2374
-621.8217,0.0934,-0.2435
-621.761,0.0799,-0.2568
-621.7003,0.0323,-0.2727
-621.6397,-0.0523,-0.2872
-621.579,-0.1608,-0.2997
-621.5183,-0.2685,-0.3117
-621.4577,-0.3492,-0.3242
-621.397,-0.3867,-0.3348
-621.3364,-0.3799,-0.3394
-621.2757,-0.34,-0.3357
-621.215,-0.2835,-0.3263
-621.1544,-0.2247,-0.3186
-621.0937,-0.1732,-0.3206
-621.033,-0.1339,-0.3364
-620.9724,-0.109,-0.3631
-620.9117,-0.0982,-0.3929
-620.8511,-0.0984,-0.4184
-620.7904,-0.1032,-0.4361
-620.7297,-0.1062,-0.448
-620.6691,-0.1043,-0.4581
-620.6084,-0.1004,-0.4684
-620.5477,-0.1016,-0.4766
-620.4871,-0.1138,-0.4778
-620.4264,-0.1365,-0.4687
-620.3658,-0.1627,-0.4516
-620.3051,-0.183,-0.4342
-620.2444,-0.1931,-0.4255
-620.1838,-0.1979,-0.4305
-620.1231,-0.209,-0.4451
-620.0624,-0.2365,-0.4568
-620.0018,-0.2812,-0.4492
-619.9411,-0.332,-0.4103
-619.8805,-0.3715,-0.3389
-619.8198,-0.3856,-0.248
-619.7591,-0.371,-0.1613
-619.6985,-0.3362,-0.1049
-619.6378,-0.2949,-0.0963
-619.5771,-0.2577,-0.1361
-619.5165,-0.2272,-0.207
-619.4558,-0.1997,-0.2807
-619.3952,-0.1697,-0.3305
-619.3345,-0.1359,-0.3444
-619.2738,-0.101,-0.3301
-619.2132,-0.0686,-0.3106
-619.1525,-0.0389,-0.3105
-619.0918,-0.007,-0.3422
-619.0312,0.0355,-0.3984
-618.9705,0.0954,-0.4551
-618.9099,0.1746,-0.4849
-618.8492,0.2689,-0.4706
-618.7885,0.3694,-0.4133
-618.7279,0.4637,-0.3307
-618.6672,0.5387,-0.2467
-618.6065,0.5818,-0.1803
-618.5459,0.5855,-0.1403
-618.4852,0.5508,-0.1249
-618.4246,0.4908,-0.128
-618.3639,0.4274,-0.1438
-618.3032,0.3836,-0.1685
-618.2426,0.3724,-0.1989
-618.1819,0.3898,-0.23
-618.1212,0.4161,-0.2555
-618.0606,0.4261,-0.2701
-617.9999,0.4029,-0.2721
-617.9393,0.3464,-0.2643
-617.8786,0.2725,-0.2511
-617.8179,0.2029,-0.236
-617.7573,0.1522,-0.2191
-617.6966,0.1218,-0.1993
-617.6359,0.1016,-0.176
-617.5753,0.0795,-0.1518
-617.5146,0.0501,-0.131
-617.454,0.0178,-0.1169
-617.3933,-0.0081,-0.1094
-617.3326,-0.0214,-0.1045
-617.272,-0.0238,-0.0976
-617.2113,-0.0238,-0.0859
-617.1506,-0.0305,-0.0709
-617.09,-0.0469,-0.0556
-617.0293,-0.0683,-0.0425
-616.9687,-0.0856,-0.0317
-616.908,-0.0922,-0.0222
-616.8473,-0.0884,-0.0154
-616.7867,-0.0817,-0.0163
-616.726,-0.082,-0.032
-616.6653,-0.0955,-0.0668
-616.6047,-0.1213,-0.1174
-616.544,-0.1511,-0.1722
-616.4834,-0.1729,-0.2167
-616.4227,-0.1753,-0.2417
-616.362,-0.1523,-0.2488
-616.3014,-0.1047,-0.2504
-616.2407,-0.0408,-0.2631
-616.18,0.0265,-0.2983
-616.1194,0.0842,-0.3556
-616.0587,0.1241,-0.4232
-615.9981,0.146,-0.4838
-615.9374,0.1579,-0.5216
-615.8767,0.1703,-0.5284
-615.8161,0.1906,-0.5033
-615.7554,0.2171,-0.4507
-615.6947,0.2392,-0.3771
-615.6341,0.2433,-0.2896
-615.5734,0.22,-0.1968
-615.5128,0.1707,-0.1087
-615.4521,0.1075,-0.036
-615.3914,0.0476,0.0129
-615.3308,0.0054,0.035
-615.2701,-0.013,0.0326
-615.2094,-0.0105,0.0125
-615.1488,0.0044,-0.0183
-615.0881,0.0226,-0.0536
-615.0275,0.0374,-0.0892
-614.9668,0.0447,-0.1212
-614.9061,0.0433,-0.1446
-614.8455,0.0338,-0.1543
-614.7848,0.0198,-0.1472
-614.7241,0.008,-0.1248
-614.6635,0.0061,-0.0934
-614.6028,0.0191,-0.0624
-614.5422,0.046,-0.0402
-614.4815,0.0798,-0.0314
-614.4208,0.1117,-0.0362
-614.3602,0.1367,-0.0521
-614.2995,0.1575,-0.076
-614.2388,0.1826,-0.1062
-614.1782,0.2199,-0.1413
-614.1175,0.2702,-0.1795
-614.0569,0.3252,-0.2168
-613.9962,0.3723,-0.2483
-613.9355,0.4029,-0.2698
-613.8749,0.419,-0.2801
-613.8142,0.4319,-0.2813
-613.7535,0.4545,-0.2767
-613.6929,0.4916,-0.2688
-613.6322,0.5348,-0.2569
-613.5716,0.5667,-0.2381
-613.5109,0.5702,-0.2091
-613.4502,0.5388,-0.1689
-613.3896,0.4799,-0.1193
-613.3289,0.4103,-0.0645
-613.2682,0.3472,-0.0088
-613.2076,0.3004,0.045
-613.1469,0.271,0.0954
-613.0863,0.2541,0.141
-613.0256,0.2443,0.1786
-612.9649,0.2375,0.2034
-612.9043,0.2295,0.21
-612.8436,0.2136,0.1944
-612.7829,0.1809,0.156
-612.7223,0.1252,0.0972
-612.6616,0.0487,0.0229
-612.601,-0.0358,-0.0602
-612.5403,-0.1093,-0.1429
-612.4796,-0.1553,-0.2132
-612.419,-0.1687,-0.2571
-612.3583,-0.1579,-0.2623
-612.2976,-0.1389,-0.2242
-612.237,-0.1249,-0.1513
-612.1763,-0.1186,-0.0644
-612.1157,-0.1116,0.0093
-612.055,-0.0917,0.0478
-611.9943,-0.0518,0.044
-611.9337,0.0041,0.0089
-611.873,0.0634,-0.0343
-611.8123,0.1126,-0.0622
-611.7517,0.1465,-0.063
-611.691,0.1711,-0.0405
-611.6304,0.2006,-0.0095
-611.5697,0.2492,0.0145
-611.509,0.3224,0.0238
-611.4484,0.4138,0.0212
-611.3877,0.5061,0.0148
-611.327,0.5776,0.011
-611.2664,0.6086,0.0108
-611.2057,0.5881,0.0123
-611.1451,0.5168,0.0169
-611.0844,0.4072,0.0326
-611.0237,0.2806,0.0719
-610.9631,0.1604,0.143
-610.9024,0.0653,0.2412
-610.8417,0.0034,0.3466
-610.7811,-0.0286,0.4312
-610.7204,-0.042,0.4723
-610.6598,-0.0499,0.4637
-610.5991,-0.0604,0.4186
-610.5384,-0.0749,0.3617
-610.4778,-0.0895,0.316
-610.4171,-0.0996,0.2914
-610.3564,-0.103,0.2829
-610.2958,-0.1011,0.2764
-610.2351,-0.0969,0.2591
-610.1745,-0.0944,0.2271
-610.1138,-0.0976,0.1867
-610.0531,-0.1116,0.1488
-609.9925,-0.1425,0.1228
-609.9318,-0.1947,0.1128
-609.8712,-0.2675,0.1166
-609.8105,-0.3526,0.129
-609.7498,-0.4359,0.1434
-609.6892,-0.5036,0.1532
-609.6285,-0.5481,0.1519
-609.5678,-0.5699,0.1334
-609.5072,-0.5747,0.0942
-609.4465,-0.5663,0.0351
-609.3859,-0.5425,-0.0378
-609.3252,-0.4967,-0.1146
-609.2645,-0.4258,-0.1852
-609.2039,-0.3376,-0.2419
-609.1432,-0.2519,-0.2806
-609.0825,-0.1929,-0.3004
-609.0219,-0.176,-0.3017
-608.9612,-0.1985,-0.2851
-608.9006,-0.2402,-0.2522
-608.8399,-0.274,-0.2057
-608.7792,-0.2805,-0.1504
-608.7186,-0.2568,-0.0921
-608.6579,-0.2145,-0.0365
-608.5972,-0.1691,0.011
-608.5366,-0.1294,0.0459
-608.4759,-0.0926,0.0646
-608.4153,-0.0501,0.0654
-608.3546,0.0027,0.0512
-608.2939,0.0596,0.0299
-608.2333,0.105,0.0143
-608.1726,0.1225,0.0176
-608.1119,0.1051,0.048
-608.0513,0.0599,0.1044
